plot_area,floors,total_area,city,quality,soil,cement_bags,steel_kg,bricks_count,total_cost_inr
7770,4,31080,ahmedabad,economy,rocky,11278,113324,561735,78622844
2185,5,10925,delhi,luxury,clay,7699,75924,342163,65298331
3247,3,9741,kolkata,luxury,red,6272,61378,304227,45657669
3112,2,6224,hyderabad,luxury,clay,4378,33941,205720,33182426
3573,2,7146,hyderabad,standard,rocky,3201,24823,142258,23819087
7363,5,36815,delhi,premium,rocky,21151,207285,899377,178485758
5776,5,28880,mumbai,economy,red,9486,99993,511207,93169454
6392,2,12784,kolkata,standard,red,4884,40771,270703,35927844
9496,3,28488,ahmedabad,standard,sandy,10741,123488,548479,82455529
9562,3,28686,surat,premium,black,17228,170003,748573,108923241
2257,5,11285,kolkata,premium,rocky,5888,63738,295003,46105895
3657,4,14628,delhi,standard,rocky,6126,62593,275212,53531073
5950,2,11900,kolkata,luxury,red,7348,60329,374827,53137743
6364,3,19092,kolkata,standard,sandy,7451,79174,376605,56709206
2498,3,7494,pune,luxury,red,4637,47750,231692,34719064
8054,1,8054,chennai,economy,red,2677,21851,143692,20191189
5749,5,28745,lucknow,luxury,clay,20019,198180,946619,128709352
8504,4,34016,delhi,standard,sandy,14652,145196,681084,118669150
3011,5,15055,bangalore,luxury,clay,9776,106205,461288,87358228
3476,2,6952,ahmedabad,economy,sandy,2384,19663,122029,16424905
9315,1,9315,hyderabad,luxury,red,5864,47398,280910,47378983
3670,3,11010,bangalore,luxury,red,6806,70954,356450,56711868
3461,2,6922,delhi,standard,sandy,2734,23716,133042,25130071
9992,4,39968,ahmedabad,luxury,sandy,27962,283868,1266422,179487754
3946,5,19730,bangalore,standard,sandy,7484,80759,416136,69246080
6100,5,30500,bangalore,luxury,sandy,20484,206131,999696,166182068
1560,5,7800,mumbai,standard,rocky,3426,33747,154643,31089478
3475,1,3475,bangalore,luxury,black,2648,20517,114002,21619105
4363,2,8726,pune,premium,black,4995,40458,234887,38060453
8060,3,24180,pune,luxury,rocky,16155,158649,794088,119476687
7471,2,14942,kolkata,economy,clay,5747,46229,263707,40689238
9663,3,28989,kolkata,premium,clay,15287,175767,717531,122044661
